Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1901,2020/2/9,MEM,@,WAS,W 106-99,240,43,102,0.422,38,70,0.543,5,32,0.156,15,25,0.6,106,35,100,0.35,28,67,0.418,7,33,0.212,22,29,0.759,99
1902,2020/2/9,WAS,,MEM,L 99-106,240,35,100,0.35,28,67,0.418,7,33,0.212,22,29,0.759,99,43,102,0.422,38,70,0.543,5,32,0.156,15,25,0.6,106
1903,2020/2/8,CHO,,DAL,L 100-116,240,38,87,0.437,27,51,0.529,11,36,0.306,13,18,0.722,100,44,87,0.506,27,52,0.519,17,35,0.486,11,11,1,116
1904,2020/2/8,DAL,@,CHO,W 116-100,240,44,87,0.506,27,52,0.519,17,35,0.486,11,11,1,116,38,87,0.437,27,51,0.529,11,36,0.306,13,18,0.722,100
1905,2020/2/8,DET,,NYK,L 92-95,240,34,69,0.493,21,40,0.525,13,29,0.448,11,16,0.688,92,38,85,0.447,30,63,0.476,8,22,0.364,11,17,0.647,95
1906,2020/2/8,NYK,@,DET,W 95-92,240,38,85,0.447,30,63,0.476,8,22,0.364,11,17,0.647,95,34,69,0.493,21,40,0.525,13,29,0.448,11,16,0.688,92
1907,2020/2/8,GSW,,LAL,L 120-125,240,46,89,0.517,33,57,0.579,13,32,0.406,15,23,0.652,120,43,82,0.524,29,53,0.547,14,29,0.483,25,34,0.735,125
1908,2020/2/8,LAL,@,GSW,W 125-120,240,43,82,0.524,29,53,0.547,14,29,0.483,25,34,0.735,125,46,89,0.517,33,57,0.579,13,32,0.406,15,23,0.652,120
1909,2020/2/8,IND,,NOP,L 117-124,240,44,83,0.53,35,57,0.614,9,26,0.346,20,27,0.741,117,44,95,0.463,29,57,0.509,15,38,0.395,21,25,0.84,124
1910,2020/2/8,NOP,@,IND,W 124-117,240,44,95,0.463,29,57,0.509,15,38,0.395,21,25,0.84,124,44,83,0.53,35,57,0.614,9,26,0.346,20,27,0.741,117
1911,2020/2/8,LAC,@,MIN,L 115-142,240,41,86,0.477,32,60,0.533,9,26,0.346,24,29,0.828,115,52,95,0.547,26,51,0.51,26,44,0.591,12,18,0.667,142
1912,2020/2/8,MIN,,LAC,W 142-115,240,52,95,0.547,26,51,0.51,26,44,0.591,12,18,0.667,142,41,86,0.477,32,60,0.533,9,26,0.346,24,29,0.828,115
1913,2020/2/8,MIL,@,ORL,W 111-95,240,42,93,0.452,27,54,0.5,15,39,0.385,12,16,0.75,111,37,98,0.378,27,58,0.466,10,40,0.25,11,14,0.786,95
1914,2020/2/8,ORL,,MIL,L 95-111,240,37,98,0.378,27,58,0.466,10,40,0.25,11,14,0.786,95,42,93,0.452,27,54,0.5,15,39,0.385,12,16,0.75,111
1915,2020/2/8,DEN,@,PHO,W 117-108,240,45,82,0.549,34,54,0.63,11,28,0.393,16,21,0.762,117,38,87,0.437,29,55,0.527,9,32,0.281,23,23,1,108
1916,2020/2/8,PHO,,DEN,L 108-117,240,38,87,0.437,29,55,0.527,9,32,0.281,23,23,1,108,45,82,0.549,34,54,0.63,11,28,0.393,16,21,0.762,117
1917,2020/2/8,SAC,,SAS,W 122-102,240,45,86,0.523,26,51,0.51,19,35,0.543,13,20,0.65,122,41,81,0.506,34,57,0.596,7,24,0.292,13,18,0.722,102
1918,2020/2/8,SAS,@,SAC,L 102-122,240,41,81,0.506,34,57,0.596,7,24,0.292,13,18,0.722,102,45,86,0.523,26,51,0.51,19,35,0.543,13,20,0.65,122
1919,2020/2/8,BRK,@,TOR,L 118-119,240,41,92,0.446,25,48,0.521,16,44,0.364,20,24,0.833,118,45,95,0.474,31,60,0.517,14,35,0.4,15,21,0.714,119
1920,2020/2/8,TOR,,BRK,W 119-118,240,45,95,0.474,31,60,0.517,14,35,0.4,15,21,0.714,119,41,92,0.446,25,48,0.521,16,44,0.364,20,24,0.833,118
1921,2020/2/7,ATL,@,BOS,L 107-112,240,35,86,0.407,22,47,0.468,13,39,0.333,24,26,0.923,107,37,86,0.43,21,49,0.429,16,37,0.432,22,27,0.815,112
1922,2020/2/7,BOS,,ATL,W 112-107,240,37,86,0.43,21,49,0.429,16,37,0.432,22,27,0.815,112,35,86,0.407,22,47,0.468,13,39,0.333,24,26,0.923,107
1923,2020/2/7,IND,,TOR,L 106-115,240,39,86,0.453,29,52,0.558,10,34,0.294,18,22,0.818,106,42,88,0.477,25,50,0.5,17,38,0.447,14,17,0.824,115
1924,2020/2/7,TOR,@,IND,W 115-106,240,42,88,0.477,25,50,0.5,17,38,0.447,14,17,0.824,115,39,86,0.453,29,52,0.558,10,34,0.294,18,22,0.818,106
1925,2020/2/7,DET,@,OKC,L 101-108,240,38,89,0.427,27,51,0.529,11,38,0.289,14,19,0.737,101,39,76,0.513,34,53,0.642,5,23,0.217,25,30,0.833,108
1926,2020/2/7,OKC,,DET,W 108-101,240,39,76,0.513,34,53,0.642,5,23,0.217,25,30,0.833,108,38,89,0.427,27,51,0.529,11,38,0.289,14,19,0.737,101
1927,2020/2/7,MEM,@,PHI,L 107-119,240,38,93,0.409,33,72,0.458,5,21,0.238,26,31,0.839,107,48,90,0.533,34,65,0.523,14,25,0.56,9,15,0.6,119
1928,2020/2/7,PHI,,MEM,W 119-107,240,48,90,0.533,34,65,0.523,14,25,0.56,9,15,0.6,119,38,93,0.409,33,72,0.458,5,21,0.238,26,31,0.839,107
1929,2020/2/7,HOU,@,PHO,L 91-127,240,29,85,0.341,18,37,0.486,11,48,0.229,22,26,0.846,91,43,77,0.558,28,46,0.609,15,31,0.484,26,27,0.963,127
